title,url,text,teacher,day,flag,flag_rand20,flag_rand20.1,flag_rand30,flag_rand50
"○アカデミック・リテラシーⅠ-7
Academic Literacy I-7",https://syllabus.doshisha.ac.jp/html/2023/0522/10522101007.html,"本講義は，学生諸君に高校と大学の違いを認識してもらうとともに，大学で「学ぶ」ことの意味を考えるきっかけを提供するものです。
講義では，学生生活において必要とされる大学施設や各種サービスの利用法を習得し，また講義やゼミを通じて得た知的刺激と問題意識について自ら考え，より深い理解，より高度な知識を求めて積極的に学ぶために必要な学習スキルについて学びます。
そして，本講義により受講者ひとりひとりが「大学生としての主体的な学習方法」を身につけることを期待します。",['亀井\u3000大樹'],"(火曜日1講時)
面接/Face-to-face",,,,,1.0
"○基本統計学-12
Introduction to statistics-12",https://syllabus.doshisha.ac.jp/html/2023/0522/10522201012.html,現代のビジネスにおいては，データ分析に基づいた意思決定の重要性がますます高まっています。本講義では，企業の財務データや株価データなどビジネスに関連するデータを用いながら，データ分析の基礎となる統計学の入門的な内容を学びます。まず，データの整理や平均，分散などの記述統計を学習します。次に，推定，検定などの推測統計について学習します。また，学習内容を実践するため，Excelを使用した初歩的なデータ分析も行います。これらの内容から，適切に数字を読み取れて有益な情報を得られるようになるだけでなく，様々ビジネス現場で必要となる基礎的なデータ分析をできるようになることを目的とします。,['溝渕\u3000英之'],"(木曜日3講時)
面接/Face-to-face",,,,,1.0
"○大学院基礎演習-26
Basic Information Seminar-26",https://syllabus.doshisha.ac.jp/html/2023/0564/30564000026.html,中小企業ないしアントレプレナーシップの研究領域における専門書ないし国内・海外ジャーナル（英語）の文献を輪読し，担当者がレジメにまとめて発表することをつうじて，日本国内外の中小企業ないしアントレプレナーシップにかんする知識を習得していく。経営学にかんする知識があることが望ましい。,['関\u3000智宏'],"集中
面接/Face-to-face",,,,,1.0
"○アカデミック・スキル２-3(読解　社会ネットワークデータの解釈および議論)
Academic Skills 2-3 (Interpreting and discussing social network data)",https://syllabus.doshisha.ac.jp/html/2023/0702/10702004003.html,"この授業は，組織間の関係や，人と人との関係を分析する手法である社会ネットワーク分析の基礎を習得することを目的としています。
医療・福祉，まちづくり，環境保全などの公共政策，あるいは研究・開発といったビジネスなどの多くの場面で，1つの組織では解決できない課題が増加しており，解決のために，複数の組織が協働する組織間ネットワークが活用されています。また，人と人との関係については，個人の健康や就職などに，どのような人とどのような関係を築いているかという個人を取り巻くネットワークが影響することが知られています。
この授業では，組織間ネットワークに参加している組織の間の関係に焦点をあて（社会ネットワーク分析では，ホールネットワーク・アプローチと呼ばれます），効果的・効率的に公共政策あるいはビジネスにおける課題を解決できる組織間ネットワークの特徴を理解し，デザインするために必要となる社会ネットワーク分析の基礎を，文献を読むことと，自らデータを収集・分析することを通じて学習します。",['中嶋\u3000学'],"(水曜日3講時)
面接/Face-to-face",,,,,1.0
"○フィールド・リサーチ-135
Field Research-135",https://syllabus.doshisha.ac.jp/html/2023/0702/10702147135.html,"授業者が知識伝達を行う講義スタイルではなく，さまざまな現場（フィールド）に身をおき，そこで生じている社会的事象を把握すること，これが一般にフィールド・リサーチと呼ばれている研究の目指すところである。このフィールド・リサーチの過程をアクティブラーニング(能動的な学習)に基づいて実施，経験してもらうことが，この科目の趣旨である。つまり，現場で見たり，聞いたりした情報から，自分自身で「問題」を定義し，その解決方法を考えるために，学習者自らが主体的に企画立案し，その一連の過程を実践して，報告書にまとめることが求められている。受講生には現場で体験したことや学習したことを課題研究として取りまとめ，それらを基盤として，演習や卒業研究においてさらに調査研究を展開していくことを期待したい。
フィールド・リサーチのための手法は厳密に標準化されているわけではないが，一例をあげれば，インタビューや観察などに代表される質的（定性的）な調査方法や統計的手法に習熟したり，記録や分析のための手段として，さまざまなメディア機器を操作したりすることが必要となるかもしれない。さらには，フィールド先やクラスでのPBL(project/problem based learning）や，ディスカッション，プレゼンテーションなどを実施することも是非実践してもらいたい。ただ，どのような手法を用いるにしても，他人の生活や仕事の場であるフィールドに「割り込んで」研究をおこなうには，その場の人たちを尊重し，礼儀をわきまえた接し方ができること，つまり基本的なコミュニケーション能力が必要であることは言うまでもない。関係者との間に協力的な関係を築くことが，フィールド・リサーチが成立するための前提条件である。
フィールド・リサーチの単位認定にあたっては，事前計画書及び実施後の報告書を提出することが必須である。また，海外におけるフィールド・リサーチについては一定の条件を満たすものについて，補助制度が設けられている。計画書・報告書のフォームや提出手続，海外版フィールド・リサーチに対する補助基準等についての詳細は，政策学部ホームページに掲載の要領を参照されたい。
なお，研究計画の立案や研究の実施，報告書の作成などの指導ならびに評価は，演習の担当教員が個別におこなうものとする。",['藤本\u3000哲史'],"集中
面接/Face-to-face",,,,,1.0
"△研究演習Ⅰ-5(文化政策の視点から地域社会を“読む”)
Research Seminar I-5 (The Rsearch Into Area Subjects taking a general view of Cultural Policy)",https://syllabus.doshisha.ac.jp/html/2023/0703/30703003005.html,"演習入門に準じつつ，研究テーマの発展・深化を目指す。
（フィールドワークについても同様）",['井口\u3000貢'],"(土曜日1講時)
面接/Face-to-face",,,,,1.0
"○演習ⅠＡ（マス・コミュニケーション研究）
Seminar I A (Mass Communication Studies)",https://syllabus.doshisha.ac.jp/html/2023/0920/30920051000.html,受講者の関心に沿って，報道の内容分析・言説分析等を通じた仮説と検証のプロセスの在り方について学習する。KHコーダーなども使ったテキストマイニング分析などにも取り組む予定である。ただし，授業の内容や進め方については，履修生の関心や能力に応じて変更することがある。,['伊藤\u3000高史'],"(水曜日2講時)
面接/Face-to-face",,,,,1.0
"○道徳教育の理論と実践-2
Moral Education:Theory and Practice-2",https://syllabus.doshisha.ac.jp/html/2023/0952/10952227002.html,"本講義は，教職課程の中でも「道徳，総合的な学習の時間等の指導法及び生徒指導，教育相談等に関する科目」に相当し，「道徳の理論及び指導法（教育職員免許法施行規則第4条）」を扱う。本講義では，道徳教育の歴史と基本的な理論を取り上げ，学校における道徳教育の目的を理解できるようにする。あわせて，道徳教育の方法を取り上げ，教材研究，学習指導案の作成などを含めて，実践的な指導力が養われるようにする。本講義では，とりわけ〈人間としての生き方〉を教育するという観点に着目して，道徳の指導方法・実践やその目的に関して，より深い理解を得ることを目指す。
以上により，受講生各自が道徳教育の可能性とその課題とを同時に理解し，道徳のみならず教育実践全般に対するより広い関心を持つことを本講義の目標とする。さらにそのことがまた同時に，教職のみならず様々な学びへの積極的な意欲へとつながっていくことを望んでいる。",['山口\u3000洋介'],"(木曜日3講時)
面接/Face-to-face",,,,,1.0
"○道徳教育の理論と実践-53
Moral Education:Theory and Practice-53",https://syllabus.doshisha.ac.jp/html/2023/0952/10952227053.html,"本講義は，教職課程の中でも「道徳，総合的な学習の時間等の指導法及び生徒指導，教育相談等に関する科目」に相当し，「道徳の理論及び指導法（教育職員免許法施行規則第4条）」を扱う。本講義では，道徳教育の歴史と基本的な理論を取り上げ，学校における道徳教育の目的を理解できるようにする。あわせて，道徳教育の方法を取り上げ，教材研究，学習指導案の作成などを含めて，実践的な指導力が養われるようにする。本講義では，とりわけ〈人間としての生き方〉を教育するという観点に着目して，道徳の指導方法・実践やその目的に関して，より深い理解を得ることを目指す。
以上により，受講生各自が道徳教育の可能性とその課題とを同時に理解し，道徳のみならず教育実践全般に対するより広い関心を持つことを本講義の目標とする。さらにそのことがまた同時に，教職のみならず様々な学びへの積極的な意欲へとつながっていくことを望んでいる。",['山口\u3000洋介'],"(火曜日6講時)
面接/Face-to-face",,,,,1.0
"□京都の知恵ビジネス
Knowledge Businesses in Kyoto",https://syllabus.doshisha.ac.jp/html/2023/1300/61300438000.html,企業には，技術やノウハウ，アイデアやネットワークなど，人々が生み出した多くの知的な強みが存在する。これらをうまく使いこなすことで永続的な事業が可能になる。京都は創業後100年以上経過している老舗企業の比率が我が国で最も高く，永続に向けた様々な工夫すなわち知恵が存在する。一方で，進取の気性を尊ぶ社会でもあり，多くのベンチャー企業が生まれている。そこにも成長にむけた多様な知恵が用いられている。本講義では，京都の経営者の知恵を活かした経営を概観するとともに，知恵の創出や事業への活用法を考察することで，自らの（もしくは自身の所属する組織の）有する知的な強みを活用できる「知恵人」を養成することを目的にしている。具体的には，京都産業界の知恵を活かしたビジネスを概観し，知恵の創出や活用についてディスカッションを行う。その後，知恵（強み：受講生が所属する組織の強み，あるいは受講生の興味のある企業等の強み）について整理し，その知恵を生み出し，共有し，活用し続けられる組織のあり方について，自身の考えを発表するとともにレポートを作成する。,['中森\u3000孝文'],"(土曜日1講時・土曜日2講時)
面接/Face-to-face",,,,,1.0
"■ゼネラルマネジメント特殊研究-3(組織の維持・発展)
Specialized Research in General Management-3",https://syllabus.doshisha.ac.jp/html/2023/1300/61300499003.html,いかに組織を構築し，どのように組織を活用するかに関する経営学で蓄積されてきた知見を獲得し，実務における組織の問題を正しく認識し，問題を解決する方法を習得する。人と組織は不可分であるが，組織行動論のように人的観点を強調すると，組織のメカニズムの解明は困難になる。本講義では，人の要素については，組織行動論，人的資源管理，リーダーシップ等の科目に譲り，組織に注目した講義設計としている。組織マネジメントに関する基礎知識を活用し，企業以外の組織（軍隊組織と国家）に関する考察を行い，そこで得た知見を企業組織への応用を試みる。,['加登\u3000豊'],"(土曜日1講時・土曜日2講時)
面接/Face-to-face",,,,,1.0
"○医工学特別演習Ａ-3
Advanced Practices in Biomedical Engineering A-3",https://syllabus.doshisha.ac.jp/html/2023/1410/31410053003.html,生命医科学や医工学研究をテーマにして，各自が研究課題を見出し，課題解決の過程で新たな知見を得ることを目指す。そのために，最先端の内容を含め関連研究や技術に関する数多くの文献調査を行い，問題の背景や現代の研究課題を理解し，解決手法について考案したことを的確にまとめる能力を養う。,['伊藤\u3000利明'],"集中
面接/Face-to-face",,,,,1.0
"○制御工学Ⅰ-1
Control Engineering I-1",https://syllabus.doshisha.ac.jp/html/2023/1411/11411017001.html,"本講義では，制御理論の入門として，線形制御理論に関する基礎知識の修得を目標とする。はじめに制御の基礎概念を示した上で，本講義で取り扱う範囲を明確にする。
線形制御理論では，制御対象の動特性は主として伝達関数を用いて表され，それに基づいて制御系の解析や設計が行われる。この伝達関数は，制御対象への入力と出力の関係を表すものであり，微分方程式のラプラス変換によって得られる。
そこで，まず，1.ラプラス変換，ラプラス逆変換，および，ラプラス変換を用いた微分方程式の解法の基礎について学ぶ。次に，2.線形システムの入出力関係が伝達関数として表されることを学び，3.制御対象の入出力関係を，ブロック線図として図示的に表現する方法を学ぶ。そして，4.制御対象に単位ステップ信号などの基本的な入力信号が加えられたときの出力の時間的変化について学ぶ。また，5.正弦波入力信号に対する制御対象の応答である周波数応答について学び，6.周波数応答の図式表現であるベクトル軌跡，ボード線図，ゲイン位相線図について学ぶ。",['横川\u3000隆一'],"(水曜日2講時)
面接/Face-to-face",,,,,1.0
"△演習Ⅳ-10
Seminar IV-10",https://syllabus.doshisha.ac.jp/html/2023/1500/11500007010.html,卒業研究の「目的」「方法」「結果」「考察」について，それぞれの進行状況を互いのディスカッションの中から検証すると共に，論文作成やプレゼンテーションの能力を高めていく．「スポーツ健康科学論入門」「健康運動論」「発育発達と老化」は既修が望ましい．,['石井\u3000好二郎'],"(火曜日4講時)
面接/Face-to-face",,,,,1.0
"○社会情報システム
Social Informatics and Systems",https://syllabus.doshisha.ac.jp/html/2023/1615/11615045000.html,人間性豊かな情報化社会，ネットワーク社会の実現に向けた社会情報学の考え方，方法論，研究事例について学び，考える。具体的には，情報の相互作用，情報が媒介するヒト・モノ・コトの相互作用を，関係性のネットワークが生成・成長・発達・分裂・崩壊するプロセスとして捉え，理解し，活用することを考える。方法論としては，生物進化のしくみをコンピュータ上で実現する進化的な方法論と関係性をネットワーク構造として分析するネットワーク科学の方法論を用い，シミュレーションを通じて，優れた情報システムのしくみをデザインするためのモデル化・シミュレーション手法を学ぶ。企業内研究所での勤務経験を有する教員が，当該研究所で習得した技術や知識を基礎とした講義を行っている。,['木村\u3000達明'],"(木曜日4講時)
面接/Face-to-face",,,,,1.0
"△科学技術英語特論Ⅱ-1
Advanced Technical Writing in English Ⅱ-1",https://syllabus.doshisha.ac.jp/html/2023/1620/31620048001.html,この授業は，国際学会や会議で用いる英語と論文作成に向けた英作文の学習の二本立てである。「国際学会・会議での英語」では，その場面ごとでよく用いられる表現を解説しつつ，その意図についても説明する。さらに，国際学会や会議でのマナーや立ちふるまい方についても講義する。「論文作成に向けた英作文」では，論文の構成や科学論文特有の英語表現を中心に解説する。また，文と文のつながりを意識して，わかりやすい論文に仕上げるための工夫について紹介する。,"['森林\u3000健悟', '米谷\u3000佳晃']","(火曜日3講時)
面接/Face-to-face",,,,,1.0
"△Ａｄｖａｎｃｅｄ　ＥｎｇｌｉｓｈⅡ-24
Advanced English Ⅱ-24",https://syllabus.doshisha.ac.jp/html/2023/1630/31630030024.html,英語による発表能力の向上には，英語を使用する環境に身に置くことに加え，発表のための基本的な技術を学び，その上で自分の考えを適切かつ効果的に表現する訓練を積むことが必要である。本講義では，英語による研究発表のための文書の作成技術を修得するとともに，英語を用いた発表に対する意識を高めることを目的とする。,['平田\u3000勝哉'],"集中
面接/Face-to-face",,,,,1.0
"○機械工学研究実験Ⅲ-124
Research and Experiments in Mechanical Engineering Ⅲ-124",https://syllabus.doshisha.ac.jp/html/2023/1630/31630103124.html,"各研究室に配属され，修了に必要な研究テーマにつき研究を行う。
1．基礎知識の習得，テーマの探求
研究テーマについては指導教授と相談しながら決定する。配属初期には関係する文献・資料を収集し，テーマの背景や問題点について調べる。問題発見力，課題探求力を深く身につける。
2．研究活動
推論（仮説設定）⇒計画⇒実験⇒解析⇒結果と考察のまとめ，のプロセスを通して論理的，工学的思考力などを身に付ける。この過程で指導教授の指導や提案を受け，得られた結果について他の共同研究者等と討議することによりコミュニケーション能力を身に付ける。
3．プレゼンテーション
２年間の研究のまとめとして修士論文を作成する。また最後に公聴会において口頭でプレゼンテーションを行う。ここではまとめる能力，口頭発表能力を身に付ける。２年間の研究活動を通じて技術者として社会のニーズを汲み取る力や社会的使命感を身に付ける。","['石川\u3000健', '笹田\u3000昌弘']","集中
面接/Face-to-face",,,,,1.0
"△機械工学特殊研究Ⅵ
Directed Research in Mechanical Engineering Ⅵ",https://syllabus.doshisha.ac.jp/html/2023/1630/41630206000.html,本科目は博士課程（後期課程）における研究指導科目であり，指導教員の指導のもと，トップレベルの研究者あるいは技術者として活躍するための高度な研究能力・実践的な技術を身につけるとともに，専門分野において自立して研究活動ができる卓越した能力を養う。また，中間報告会などにおける積極的な成果発表を通し，プレゼンテーション能力やディスカッション能力を高めていく。さらに，国内外の学会，シンポジウム，国際会議，学会論文誌などにおいて研究成果を発表できるよう指導していき，博士論文執筆へつなげていく。,[],"集中
面接/Face-to-face",,,,,1.0
"△無機構造論
Molecular Structures of Inorganic Compounds",https://syllabus.doshisha.ac.jp/html/2023/1640/11640060000.html,"金属や半導体，セラミックス材料などに代表されるように，無機固体化合物は現代文明，技術，産業を支える重要な材料である。それらの多くは，分子の集合からなる分子性化合物ではなく，しばしば巨大分子とも呼ばれる結晶性化合物である。このような物質では，単位格子と呼ばれる最小の繰り返し単位となる原子・分子集団が存在し，さらに，イオン結合，共有結合，金属結合などの化学結合が物質全体に及ぶ。そのことによって，分子性化合物とは異なった特有の電気的，磁気的，光学的な性質が現れる。
したがって，まずはこのような結晶性化合物の結合および構造について理解することが重要である。本科目では，前半において無機固体化合物における化学結合とエネルギーについて精講する。後半では，無機固体化合物における分類や記述法などの結晶化学的な知見，および，回折法を中心とした構造解析法について述べる。さらに，磁性や電気伝導性，光学的性質など，無機固体化合物の構造に由来する物性について，基礎的な事項を述べる。この講義を通して，無機固体化合物の結合と構造について基礎的な知識を習得することを目的とする。
なお，本科目は「学習・教育目標　B　化学分野における専門知識の習得（2）専門応用」に含まれ，無機化学分野の専門基礎知識を学習することになる。",['加藤\u3000将樹'],"(金曜日2講時)
面接/Face-to-face",,,,,1.0
"○Ｒｅｓｅａｒｃｈ　ａｎｄ　Ｅｘｐｅｒｉｍｅｎｔｓ　Ⅳ（Ｅ）-29
Research and Experiments Ⅳ (E)-29",https://syllabus.doshisha.ac.jp/html/2023/1693/31693094029.html,"Throughout this course， students work on their research under their supervisors’ supervision in master degree program. This course aims to let students acquire basic ability of research and practical skills to be a researcher or engineer and outstanding ability to work on research independently in a specialized field.
In addition， students will present research achievement by the interim report in order to obtain high ability of presentation and discussion. Moreover， supervisors will stimulate to attend in national and international academic learned society， symposium or international conference and publish their research in an academic journal. Throughout these supervision， students will be able to write a Master's Thesis.",['高岡\u3000正憲'],"集中
面接/Face-to-face",,,,,1.0
"○心理学体系論演習Ⅲ-4
Psychological Systems Seminar III-4",https://syllabus.doshisha.ac.jp/html/2023/1701/31701205004.html,先行研究に基づいて研究計画の立案したり，研究計画に基づいて実施した研究結果や考察内容について発表を行い，その内容についてディスカッションを行う。,['神山\u3000貴弥'],"(水曜日5講時)
対面ネット併用授業/Hybrid class",,,,,1.0
"△脳科学研究特殊実験Ⅰ-8
Advanced Experiment in Brain Science Research I-8",https://syllabus.doshisha.ac.jp/html/2023/2102/52102011008.html,"論文を英文で執筆し，国際誌に投稿する。また，論文に現れない実験方法の工夫，ネガティブな実験結果や独自の考察，想像，今後の研究の方向や方針などを含めることで，研究学位論文としてまとめる。
Students write their findings as original papers in international journals. At the same time, students prepare for the thesis including the experimental methods in detail which does not appear in the original paper, considerations and discussions about experiment results, and direction and policy of their future research.",['御園生\u3000裕明'],"集中
面接/Face-to-face",,,,,1.0
"○教育課程論-53
Curriculum Study-53",https://syllabus.doshisha.ac.jp/html/2023/5010/15010070053.html,"学校の教育活動は，あらかじめ計画された教育課程に基づいてすすめられる。その教育課程は児童・生徒にとっての必要性と社会的必要性の二側面から吟味されなければならない。それは，人間教育という点において普遍的な側面を持つ一方，教育に対する時々の時代の期待や要請によって影響を受けるということである。
講義では，教育課程の原理や思想について考察するとともに，我が国の学校教育課程を規定している学習指導要領の構成を，教科課程と教科外課程（総合的な学習の時間など）に分けて論じ，学習指導要領全体に対する理解と具体的な実践さらにはその変遷を通して，教育課程の持つ問題点やあるべき姿を探っていきたい。また，教師に期待される教育課程編成・改善の基本的能力を身につけ，学校教育課程全体をマネジメントすることの意義について考えてみたい。
講義形式が中心となるが，グループでの作業をできるだけ取り入れることで，授業への積極的な参加を期待する。",['奥野\u3000浩之'],"(火曜日4講時)
面接/Face-to-face",,,,,1.0
"○教育方法とICT活用の理論と実践 -3
Theory and Practice of Teaching and ICT Use-3",https://syllabus.doshisha.ac.jp/html/2023/5010/15010111003.html,現代社会では，学習スタイルや雇用のあり方の変化が急速に進み，教育にも変化が求められるようになった。そのような時代において，子どもたちは創造性，批判的思考，問題解決，意思決定，協働などのスキルを身につけ，主体的・対話的な学びを実現し，デジタル情報時代にふさわしい態度や価値観を身につけることが期待されている。本講義では，教授・学習過程，授業の設計と学習指導，教育の評価，コンピュータと教育メディア，学習意欲・動機づけなど，教育方法に関する理論的諸問題について概説し，教育方法に関する理解を深め，子どもの主体的・対話的・深い学びを実現するための指導技術を身につける。また，より効果的な授業を行うために，情報機器の活用能力や教材作成能力の獲得を目指すとともに，子どもたちの情報活用能力育成についての指導技術を身につける。,['岡本\u3000真彦'],"(金曜日1講時)
面接/Face-to-face",,,,,1.0
